# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

43.249.80.0/22 Deny Cloud
43.250.175.0/24 Deny Cloud
45.118.252.0/22 Deny Cloud
45.119.52.0/22 Deny Cloud
45.119.125.0/24 Deny Cloud
45.125.34.0/24 Deny Cloud
45.248.84.0/22 Deny Cloud
69.165.72.0/24 Deny Cloud
69.165.78.0/24 Deny Cloud
103.20.250.0/23 Deny Cloud
103.36.136.0/22 Deny Cloud
103.36.168.0/22 Deny Cloud
103.36.172.0/23 Deny Cloud
103.40.160.0/22 Deny Cloud
103.50.252.0/23 Deny Cloud
103.50.255.0/24 Deny Cloud
103.59.44.0/22 Deny Cloud
103.59.100.0/22 Deny Cloud
103.68.192.0/22 Deny Cloud
103.71.48.0/22 Deny Cloud
103.74.172.0/22 Deny Cloud
103.74.195.0/24 Deny Cloud
103.76.86.0/23 Deny Cloud
103.79.120.0/22 Deny Cloud
103.79.176.0/22 Deny Cloud
103.80.28.0/22 Deny Cloud
103.81.168.0/22 Deny Cloud
103.82.52.0/22 Deny Cloud
103.84.88.0/22 Deny Cloud
103.85.224.0/22 Deny Cloud
103.89.137.0/24 Deny Cloud
103.192.226.0/24 Deny Cloud
103.193.128.0/24 Deny Cloud
103.213.245.0/24 Deny Cloud
103.214.140.0/22 Deny Cloud
103.214.168.0/22 Deny Cloud
103.214.192.0/22 Deny Cloud
103.223.120.0/24 Deny Cloud
103.223.122.0/24 Deny Cloud
103.232.188.0/22 Deny Cloud
103.236.220.0/24 Deny Cloud
103.249.104.0/22 Deny Cloud
103.254.198.0/23 Deny Cloud
116.89.240.0/22 Deny Cloud
116.89.248.0/22 Deny Cloud
116.206.92.0/24 Deny Cloud
118.184.0.0/21 Deny Cloud
118.184.11.0/24 Deny Cloud
118.184.12.0/22 Deny Cloud
118.184.16.0/22 Deny Cloud
118.184.21.0/24 Deny Cloud
118.184.23.0/24 Deny Cloud
118.184.24.0/21 Deny Cloud
118.184.32.0/19 Deny Cloud
118.184.64.0/19 Deny Cloud
118.184.96.0/22 Deny Cloud
118.184.100.0/23 Deny Cloud
118.184.103.0/24 Deny Cloud
118.193.128.0/17 Deny Cloud
121.54.188.0/22 Deny Cloud
144.48.4.0/23 Deny Cloud
144.48.140.0/22 Deny Cloud
146.196.72.0/22 Deny Cloud
180.235.137.0/24 Deny Cloud
185.190.81.0/24 Deny Cloud
198.177.121.0/24 Deny Cloud
198.177.124.0/24 Deny Cloud
198.177.126.0/24 Deny Cloud
202.43.91.0/24 Deny Cloud
202.58.104.0/22 Deny Cloud
202.74.55.0/24 Deny Cloud
202.91.36.0/22 Deny Cloud
216.250.104.0/22 Deny Cloud
Tag: ShangHai AnchNet Tec


# ASN 7497 ("Computer Network Information Center").
# %Listed, Google Malware Dashboard: 0.59%.
# %Listed, CleanTalk.org: 25.77%.
# Stop Forum Spam (SFS) listings: 175.
# Updated: 2017.07.12

36.254.0.0/16 Deny Cloud
42.197.0.0/16 Deny Cloud
42.198.0.0/16 Deny Cloud
42.199.0.0/18 Deny Cloud
43.224.184.0/22 Deny Cloud
43.250.16.0/21 Deny Cloud
43.250.100.0/22 Deny Cloud
43.250.108.0/22 Deny Cloud
49.210.0.0/15 Deny Cloud
49.220.0.0/17 Deny Cloud
49.222.0.0/16 Deny Cloud
60.245.128.0/17 Deny Cloud
101.126.128.0/17 Deny Cloud
101.130.0.0/17 Deny Cloud
101.252.0.0/15 Deny Cloud
103.2.208.0/22 Deny Cloud
103.41.148.0/22 Deny Cloud
103.41.152.0/22 Deny Cloud
103.41.220.0/22 Deny Cloud
103.41.224.0/22 Deny Cloud
103.43.208.0/22 Deny Cloud
113.130.96.0/20 Deny Cloud
