# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

198.52.128.0/17 Deny Cloud
Tag: Avante Hosting


# ASN 63930 ("READY SERVER PTE LTD").
# %Listed, Google Malware Dashboard: 2.97%.
# %Listed, CleanTalk.org: 35.62%.
# Stop Forum Spam (SFS) listings: 117.
# Updated: 2017.09.22

45.125.192.0/22 Deny Cloud
103.47.208.0/22 Deny Cloud
103.77.79.0/24 Deny Cloud
103.200.208.0/22 Deny Cloud
Tag: Ready Server


# ASN 42655 ("ON-LINE Ltd").
# %Listed, Google Malware Dashboard: 1.49%.
# %Listed, CleanTalk.org: 79.58%.
# Stop Forum Spam (SFS) listings: 178.
# Updated: 2016.01.21 / Checked: 2017.09.20

31.41.216.0/21 Deny Cloud
194.28.172.0/22 Deny Cloud
195.248.234.0/23 Deny Cloud
Tag: ON-LINE Ltd


# "Internap Network Services Corporation". Various ASNs. Updated: 2017.11.02

23.92.180.0/22 Deny Cloud
23.92.184.0/21 Deny Cloud
31.186.224.0/19 Deny Cloud
36.255.216.0/22 Deny Cloud
36.255.236.0/22 Deny Cloud
38.107.85.0/24 Deny Cloud
38.107.87.0/24 Deny Cloud
45.116.224.0/22 Deny Cloud
45.118.40.0/22 Deny Cloud
45.124.220.0/22 Deny Cloud
45.126.124.0/24 Deny Cloud
45.251.132.0/22 Deny Cloud
52.124.63.0/24 Deny Cloud
52.128.40.0/23 Deny Cloud
61.211.160.0/20 Deny Cloud
63.84.146.0/24 Deny Cloud
63.250.0.0/23 Deny Cloud
63.251.0.0/18 Deny Cloud
63.251.64.0/19 Deny Cloud
63.251.100.0/22 Deny Cloud
63.251.110.0/23 Deny Cloud
63.251.112.0/20 Deny Cloud
63.251.128.0/18 Deny Cloud
63.251.192.0/19 Deny Cloud
63.251.244.0/22 Deny Cloud
63.251.248.0/22 Deny Cloud
64.7.192.0/20 Deny Cloud
64.7.208.0/21 Deny Cloud
64.7.216.0/22 Deny Cloud
64.7.220.0/23 Deny Cloud
64.7.223.0/24 Deny Cloud
64.27.244.0/23 Deny Cloud
64.71.234.0/24 Deny Cloud
64.71.237.0/24 Deny Cloud
64.72.223.0/24 Deny Cloud
64.74.0.0/16 Deny Cloud
64.94.0.0/18 Deny Cloud
64.94.72.0/21 Deny Cloud
64.94.88.0/22 Deny Cloud
64.94.96.0/19 Deny Cloud
64.94.128.0/17 Deny Cloud
64.95.0.0/18 Deny Cloud
64.95.64.0/19 Deny Cloud
64.95.104.0/21 Deny Cloud
64.95.112.0/20 Deny Cloud
64.95.128.0/21 Deny Cloud
64.95.137.0/24 Deny Cloud
64.95.140.0/22 Deny Cloud
64.95.144.0/20 Deny Cloud
64.95.160.0/19 Deny Cloud
64.95.192.0/18 Deny Cloud
65.59.202.0/24 Deny Cloud
66.79.128.0/20 Deny Cloud
66.79.156.0/23 Deny Cloud
66.150.0.0/16 Deny Cloud
66.151.0.0/17 Deny Cloud
66.151.128.0/18 Deny Cloud
66.151.192.0/20 Deny Cloud
66.151.208.0/21 Deny Cloud
66.151.220.0/22 Deny Cloud
66.151.224.0/19 Deny Cloud
66.171.192.0/20 Deny Cloud
67.215.179.0/24 Deny Cloud
67.215.180.0/24 Deny Cloud
67.215.182.0/24 Deny Cloud
67.215.186.0/24 Deny Cloud
69.25.0.0/17 Deny Cloud
69.25.128.0/18 Deny Cloud
69.25.192.0/19 Deny Cloud
69.25.224.0/21 Deny Cloud
69.25.232.0/22 Deny Cloud
69.25.240.0/20 Deny Cloud
69.88.128.0/20 Deny Cloud
69.88.148.0/22 Deny Cloud
69.88.158.0/23 Deny Cloud
70.34.119.0/24 Deny Cloud
70.42.0.0/16 Deny Cloud
72.5.0.0/19 Deny Cloud
72.5.42.0/23 Deny Cloud
72.5.48.0/20 Deny Cloud
72.5.64.0/18 Deny Cloud
72.5.128.0/17 Deny Cloud
74.91.112.0/24 Deny Cloud
74.91.114.0/24 Deny Cloud
74.91.116.0/24 Deny Cloud
74.91.118.0/24 Deny Cloud
74.91.120.0/23 Deny Cloud
74.91.123.0/24 Deny Cloud
74.91.126.0/23 Deny Cloud
74.118.48.0/22 Deny Cloud
74.201.0.0/16 Deny Cloud
74.217.0.0/16 Deny Cloud
75.98.0.0/18 Deny Cloud
75.98.64.0/19 Deny Cloud
77.242.192.0/20 Deny Cloud
95.172.64.0/24 Deny Cloud
95.172.66.0/23 Deny Cloud
95.172.68.0/22 Deny Cloud
95.172.72.0/23 Deny Cloud
95.172.75.0/24 Deny Cloud
95.172.76.0/22 Deny Cloud
95.172.80.0/20 Deny Cloud
103.19.116.0/22 Deny Cloud
103.20.72.0/22 Deny Cloud
103.28.24.0/22 Deny Cloud
103.44.208.0/22 Deny Cloud
103.48.36.0/22 Deny Cloud
103.51.80.0/22 Deny Cloud
103.58.68.0/22 Deny Cloud
103.65.208.0/22 Deny Cloud
103.79.48.0/22 Deny Cloud
103.95.180.0/22 Deny Cloud
103.99.124.0/22 Deny Cloud
103.195.4.0/23 Deny Cloud
103.209.194.0/24 Deny Cloud
103.228.60.0/22 Deny Cloud
103.228.196.0/22 Deny Cloud
103.230.24.0/22 Deny Cloud
103.232.200.0/22 Deny Cloud
103.235.180.0/22 Deny Cloud
103.239.216.0/22 Deny Cloud
103.240.116.0/22 Deny Cloud
103.240.252.0/22 Deny Cloud
103.242.4.0/22 Deny Cloud
103.243.152.0/22 Deny Cloud
103.243.240.0/22 Deny Cloud
103.249.212.0/22 Deny Cloud
103.250.172.0/22 Deny Cloud
103.251.156.0/22 Deny Cloud
103.253.216.0/22 Deny Cloud
103.254.60.0/22 Deny Cloud
103.255.0.0/22 Deny Cloud
104.37.120.0/21 Deny Cloud
104.152.224.0/24 Deny Cloud
104.153.104.0/24 Deny Cloud
104.153.106.0/23 Deny Cloud
104.153.110.0/23 Deny Cloud
107.6.112.0/21 Deny Cloud
107.6.120.0/22 Deny Cloud
107.150.128.0/19 Deny Cloud
107.180.128.0/19 Deny Cloud
107.191.186.0/23 Deny Cloud
107.191.188.0/22 Deny Cloud
109.233.40.0/21 Deny Cloud
110.34.56.0/21 Deny Cloud
111.221.56.0/22 Deny Cloud
114.134.28.0/22 Deny Cloud
117.20.40.0/21 Deny Cloud
119.59.72.0/21 Deny Cloud
119.82.8.0/22 Deny Cloud
122.200.32.0/21 Deny Cloud
122.255.76.0/22 Deny Cloud
123.108.0.0/21 Deny Cloud
129.230.17.0/24 Deny Cloud
137.59.232.0/22 Deny Cloud
138.36.16.0/22 Deny Cloud
142.54.20.0/23 Deny Cloud
142.75.16.0/23 Deny Cloud
151.106.195.0/24 Deny Cloud
151.193.157.0/24 Deny Cloud
157.119.64.0/22 Deny Cloud
162.217.8.0/21 Deny Cloud
162.248.89.0/24 Deny Cloud
162.248.90.0/23 Deny Cloud
162.248.95.0/24 Deny Cloud
167.173.201.0/24 Deny Cloud
171.20.53.0/24 Deny Cloud
171.20.54.0/23 Deny Cloud
173.230.225.0/24 Deny Cloud
173.230.226.0/23 Deny Cloud
173.230.230.0/23 Deny Cloud
173.230.235.0/24 Deny Cloud
174.34.48.0/20 Deny Cloud
178.22.8.0/23 Deny Cloud
178.22.10.0/24 Deny Cloud
178.22.13.0/24 Deny Cloud
178.22.14.0/24 Deny Cloud
180.222.32.0/20 Deny Cloud
180.222.56.0/21 Deny Cloud
181.225.136.0/22 Deny Cloud
184.94.220.0/24 Deny Cloud
185.37.36.0/23 Deny Cloud
185.107.96.0/24 Deny Cloud
185.175.12.0/22 Deny Cloud
192.30.228.0/22 Deny Cloud
192.43.206.0/24 Deny Cloud
192.69.113.0/24 Deny Cloud
192.98.128.0/17 Deny Cloud
192.149.58.0/24 Deny Cloud
192.170.158.0/23 Deny Cloud
192.200.0.0/24 Deny Cloud
192.223.24.0/24 Deny Cloud
192.223.27.0/24 Deny Cloud
192.223.28.0/23 Deny Cloud
192.223.31.0/24 Deny Cloud
192.234.105.0/24 Deny Cloud
193.130.199.0/24 Deny Cloud
194.145.26.0/24 Deny Cloud
198.65.168.0/24 Deny Cloud
198.72.80.0/23 Deny Cloud
198.72.82.0/24 Deny Cloud
198.72.88.0/23 Deny Cloud
199.16.146.0/24 Deny Cloud
199.19.124.0/22 Deny Cloud
199.19.142.0/23 Deny Cloud
199.21.76.0/22 Deny Cloud
199.21.80.0/22 Deny Cloud
199.168.132.0/22 Deny Cloud
199.230.0.0/24 Deny Cloud
199.233.98.0/24 Deny Cloud
199.233.179.0/24 Deny Cloud
199.244.252.0/22 Deny Cloud
199.245.176.0/24 Deny Cloud
200.50.128.0/23 Deny Cloud
202.56.8.0/21 Deny Cloud
202.58.8.0/21 Deny Cloud
202.58.100.0/24 Deny Cloud
202.58.136.0/21 Deny Cloud
203.95.24.0/21 Deny Cloud
203.169.8.0/21 Deny Cloud
203.190.120.0/21 Deny Cloud
204.9.43.0/24 Deny Cloud
204.75.186.0/24 Deny Cloud
204.227.65.0/24 Deny Cloud
204.227.77.0/24 Deny Cloud
204.238.50.0/24 Deny Cloud
204.238.150.0/24 Deny Cloud
206.191.128.0/20 Deny Cloud
206.191.144.0/21 Deny Cloud
206.191.160.0/20 Deny Cloud
206.191.176.0/21 Deny Cloud
206.253.192.0/21 Deny Cloud
206.253.208.0/20 Deny Cloud
208.64.100.0/22 Deny Cloud
208.75.208.0/21 Deny Cloud
208.76.8.0/22 Deny Cloud
208.76.24.0/22 Deny Cloud
208.94.48.0/21 Deny Cloud
208.95.255.0/24 Deny Cloud
208.146.32.0/20 Deny Cloud
209.191.128.0/18 Deny Cloud
209.247.32.0/24 Deny Cloud
210.134.0.0/20 Deny Cloud
210.193.64.0/18 Deny Cloud
212.118.224.0/19 Deny Cloud
216.52.0.0/21 Deny Cloud
216.52.24.0/21 Deny Cloud
216.52.32.0/19 Deny Cloud
216.52.64.0/18 Deny Cloud
216.52.128.0/17 Deny Cloud
216.133.224.0/19 Deny Cloud
216.147.220.0/24 Deny Cloud
216.223.0.0/18 Deny Cloud
216.228.228.0/23 Deny Cloud
216.228.236.0/23 Deny Cloud
218.40.144.0/20 Deny Cloud
218.216.96.0/20 Deny Cloud
219.96.96.0/19 Deny Cloud
219.113.0.0/19 Deny Cloud
Tag: Internap Network


# ASN 23033 ("Wowrack.com").
# %Listed, Google Malware Dashboard: 10.45%.
# %Listed, CleanTalk.org: 77.66%.
# Stop Forum Spam (SFS) listings: 12,123.
# Updated: 2017.09.19

43.224.132.0/22 Deny Cloud
43.230.200.0/22 Deny Cloud
43.249.188.0/22 Deny Cloud
50.115.160.0/20 Deny Cloud
64.57.128.0/24 Deny Cloud
74.121.184.0/21 Deny Cloud
76.191.81.0/24 Deny Cloud
76.191.82.0/23 Deny Cloud
103.225.60.0/22 Deny Cloud
103.229.64.0/24 Deny Cloud
103.229.67.0/24 Deny Cloud
103.233.26.0/23 Deny Cloud
103.236.108.0/22 Deny Cloud
103.241.168.0/22 Deny Cloud
104.200.65.0/24 Deny Cloud
104.232.217.0/24 Deny Cloud
107.181.138.0/24 Deny Cloud
150.129.0.0/23 Deny Cloud
162.210.248.0/22 Deny Cloud
162.245.236.0/22 Deny Cloud
162.251.68.0/22 Deny Cloud
173.0.48.0/20 Deny Cloud
181.41.204.0/24 Deny Cloud
181.214.150.0/24 Deny Cloud
182.54.238.0/24 Deny Cloud
192.34.108.0/22 Deny Cloud
192.124.18.0/24 Deny Cloud
192.169.68.0/22 Deny Cloud
192.206.8.0/24 Deny Cloud
192.251.193.0/24 Deny Cloud
198.167.136.0/21 Deny Cloud
198.175.124.0/22 Deny Cloud
199.119.224.0/22 Deny Cloud
199.180.128.0/21 Deny Cloud
207.244.144.0/20 Deny Cloud
208.89.208.0/21 Deny Cloud
208.115.96.0/19 Deny Cloud
209.40.200.0/24 Deny Cloud
209.90.224.0/20 Deny Cloud
210.16.101.0/24 Deny Cloud
216.176.176.0/20 Deny Cloud
216.244.64.0/19 Deny Cloud
Tag: Wowrack.com


# ASN 197746 ("HyperHosting - Cloud Infrastructure").
# %Listed, Google Malware Dashboard: 1.36%.
# Updated: 2016.01.21 / Checked: 2017.10.17

31.22.112.0/23 Deny Cloud
31.22.115.0/24 Deny Cloud
31.22.118.0/23 Deny Cloud
62.1.216.0/24 Deny Cloud
185.23.88.0/23 Deny Cloud
194.219.79.0/24 Deny Cloud
Tag: HyperHosting


# ASN 25700 ("SWIFT VENTURES Inc").
# Updated: 2016.08.26 / Checked: 2017.10.17

204.8.32.0/24 Deny Cloud
204.8.34.0/24 Deny Cloud
204.13.164.0/22 Deny Cloud
204.14.122.0/23 Deny Cloud
204.15.224.0/21 Deny Cloud
208.99.192.0/21 Deny Cloud
208.99.200.0/24 Deny Cloud
208.99.202.0/23 Deny Cloud
208.99.204.0/22 Deny Cloud
208.99.208.0/22 Deny Cloud
208.99.214.0/23 Deny Cloud
208.99.216.0/21 Deny Cloud
Tag: SWIFT VENTURES Inc


# ASN 29262 ("IDEAL HOSTING SUNUCUNINTERNET HIZ. TIC. LTDSTI").
# %Listed, Google Malware Dashboard: 1.56%.
# %Listed, CleanTalk.org: 45.45%.
# Stop Forum Spam (SFS) listings: 2.
# Updated: 2017.10.30

185.85.189.0/24 Deny Cloud
185.85.190.0/23 Deny Cloud
185.85.237.0/24 Deny Cloud
185.85.238.0/23 Deny Cloud
185.86.5.0/24 Deny Cloud
185.86.13.0/24 Deny Cloud
185.86.153.0/24 Deny Cloud
185.86.154.0/24 Deny Cloud
185.86.164.0/22 Deny Cloud
185.87.24.0/24 Deny Cloud
185.87.26.0/23 Deny Cloud
185.87.121.0/24 Deny Cloud
185.87.122.0/23 Deny Cloud
185.98.60.0/24 Deny Cloud
185.119.80.0/22 Deny Cloud
185.148.240.0/22 Deny Cloud
185.174.20.0/22 Deny Cloud
185.205.18.0/23 Deny Cloud
185.217.228.0/22 Deny Cloud
Tag: IDEAL HOSTING


# ASN 11051 ("Cyberverse, Inc").
# %Listed, Google Malware Dashboard: 1.25%.
# %Listed, CleanTalk.org: 39.13%.
# Stop Forum Spam (SFS) listings: 620.
# Updated: 2017.03.22 / Checked: 2017.09.22

66.172.0.0/18 Deny Cloud
66.180.192.0/20 Deny Cloud
208.80.183.0/24 Deny Cloud
209.151.224.0/19 Deny Cloud
216.176.192.0/20 Deny Cloud
Tag: Cyberverse, Inc


# ASN 54489 ("CoreSpace, Inc").
# %Listed, Google Malware Dashboard: 0.32%.
# %Listed, CleanTalk.org: 88.80%.
# Stop Forum Spam (SFS) listings: 930.
# Updated: 2016.10.02 / Checked: 2017.10.30

44.110.0.0/24 Deny Cloud
63.249.128.0/17 Deny Cloud
64.182.0.0/16 Deny Cloud
66.34.0.0/16 Deny Cloud
66.221.0.0/16 Deny Cloud
69.13.0.0/16 Deny Cloud
198.73.50.0/24 Deny Cloud
198.232.139.0/24 Deny Cloud
209.164.64.0/18 Deny Cloud
216.97.0.0/17 Deny Cloud
216.221.160.0/19 Deny Cloud
Tag: CoreSpace, Inc


# ASN 32421 ("Black Lotus Communications").
# %Listed, Google Malware Dashboard: 0.34%.
# %Listed, CleanTalk.org: 26.92%.
# Updated: 2017.09.09

162.252.54.0/24 Deny Cloud
162.254.240.0/22 Deny Cloud
185.55.52.0/23 Deny Cloud
185.55.54.0/24 Deny Cloud
192.31.184.0/22 Deny Cloud
192.184.8.0/21 Deny Cloud
199.59.160.0/21 Deny Cloud
199.250.60.0/22 Deny Cloud
208.64.120.0/21 Deny Cloud
Tag: Black Lotus


# ASNs 8100, 29761 ("QuadraNet, Inc").
# %Listed, Google Malware Dashboard: 4.95% (AS8100), 0% (AS29761).
# %Listed, CleanTalk.org: 84.01% (AS8100), 89.09% (AS29761).
# Stop Forum Spam (SFS) listings: 60,391 (AS8100), 0 (AS29761).
# Updated: 2017.10.17

23.92.52.0/22 Deny Cloud
23.152.0.0/24 Deny Cloud
23.163.0.0/24 Deny Cloud
23.225.128.0/21 Deny Cloud
23.226.128.0/21 Deny Cloud
23.249.240.0/20 Deny Cloud
31.170.111.0/24 Deny Cloud
31.220.14.0/24 Deny Cloud
36.255.79.0/24 Deny Cloud
37.139.70.0/24 Deny Cloud
43.230.26.0/24 Deny Cloud
43.251.8.0/22 Deny Cloud
45.41.140.0/22 Deny Cloud
45.56.144.0/22 Deny Cloud
45.59.123.0/24 Deny Cloud
45.61.112.0/20 Deny Cloud
45.61.160.0/22 Deny Cloud
45.61.188.0/22 Deny Cloud
45.78.144.0/24 Deny Cloud
45.78.149.0/24 Deny Cloud
45.78.152.0/24 Deny Cloud
45.78.156.0/24 Deny Cloud
45.78.159.0/24 Deny Cloud
45.118.124.0/22 Deny Cloud
45.120.4.0/22 Deny Cloud
59.153.60.0/22 Deny Cloud
63.142.240.0/22 Deny Cloud
63.142.248.0/23 Deny Cloud
64.52.84.0/22 Deny Cloud
64.188.0.0/19 Deny Cloud
66.55.76.0/24 Deny Cloud
66.63.160.0/19 Deny Cloud
66.85.26.0/23 Deny Cloud
66.85.44.0/23 Deny Cloud
66.154.96.0/19 Deny Cloud
66.212.16.0/20 Deny Cloud
67.215.224.0/19 Deny Cloud
69.12.64.0/19 Deny Cloud
69.174.96.0/21 Deny Cloud
71.19.128.0/24 Deny Cloud
72.11.128.0/19 Deny Cloud
85.203.36.0/24 Deny Cloud
96.9.223.0/24 Deny Cloud
96.44.128.0/18 Deny Cloud
96.47.224.0/20 Deny Cloud
98.143.144.0/20 Deny Cloud
103.21.208.0/22 Deny Cloud
103.58.176.0/22 Deny Cloud
103.60.64.0/22 Deny Cloud
103.79.76.0/22 Deny Cloud
103.82.250.0/23 Deny Cloud
103.209.56.0/24 Deny Cloud
103.235.4.0/24 Deny Cloud
103.236.221.0/24 Deny Cloud
103.236.222.0/23 Deny Cloud
104.37.59.0/24 Deny Cloud
104.129.0.0/18 Deny Cloud
104.143.33.0/24 Deny Cloud
104.143.34.0/24 Deny Cloud
104.143.88.0/22 Deny Cloud
104.171.160.0/24 Deny Cloud
104.171.164.0/24 Deny Cloud
104.171.169.0/24 Deny Cloud
104.171.171.0/24 Deny Cloud
104.171.175.0/24 Deny Cloud
104.192.28.0/22 Deny Cloud
104.194.144.0/22 Deny Cloud
104.194.156.0/22 Deny Cloud
104.194.192.0/22 Deny Cloud
104.194.214.0/23 Deny Cloud
104.200.67.0/24 Deny Cloud
104.200.72.0/23 Deny Cloud
104.200.160.0/20 Deny Cloud
104.219.7.0/24 Deny Cloud
104.223.0.0/17 Deny Cloud
104.237.80.0/24 Deny Cloud
104.238.33.0/24 Deny Cloud
104.238.46.0/23 Deny Cloud
104.243.246.0/24 Deny Cloud
104.245.240.0/21 Deny Cloud
104.250.163.0/24 Deny Cloud
104.250.174.0/24 Deny Cloud
104.250.178.0/24 Deny Cloud
104.251.208.0/23 Deny Cloud
104.254.61.0/24 Deny Cloud
104.255.220.0/22 Deny Cloud
104.255.225.0/24 Deny Cloud
107.150.0.0/19 Deny Cloud
107.161.80.0/20 Deny Cloud
107.167.32.0/19 Deny Cloud
107.178.140.0/22 Deny Cloud
107.181.77.0/24 Deny Cloud
107.181.132.0/23 Deny Cloud
107.181.152.0/22 Deny Cloud
107.189.10.0/23 Deny Cloud
139.5.224.0/23 Deny Cloud
146.71.32.0/20 Deny Cloud
146.71.77.0/24 Deny Cloud
146.71.78.0/24 Deny Cloud
146.148.160.0/21 Deny Cloud
154.16.247.0/24 Deny Cloud
155.94.128.0/17 Deny Cloud
155.254.32.0/22 Deny Cloud
155.254.38.0/24 Deny Cloud
155.254.48.0/23 Deny Cloud
160.202.168.0/22 Deny Cloud
162.211.65.0/24 Deny Cloud
162.211.67.0/24 Deny Cloud
162.216.126.0/23 Deny Cloud
162.218.208.0/22 Deny Cloud
162.220.8.0/21 Deny Cloud
162.220.244.0/24 Deny Cloud
162.222.213.0/24 Deny Cloud
162.245.184.0/21 Deny Cloud
162.253.178.0/23 Deny Cloud
167.88.162.0/23 Deny Cloud
167.88.168.0/22 Deny Cloud
167.160.36.0/24 Deny Cloud
167.160.81.0/24 Deny Cloud
167.160.82.0/24 Deny Cloud
167.160.85.0/24 Deny Cloud
167.160.86.0/23 Deny Cloud
167.160.113.0/24 Deny Cloud
167.160.160.0/19 Deny Cloud
172.81.96.0/24 Deny Cloud
172.81.98.0/24 Deny Cloud
172.93.121.0/24 Deny Cloud
172.93.123.0/24 Deny Cloud
172.93.185.0/24 Deny Cloud
172.97.70.0/24 Deny Cloud
172.110.24.0/24 Deny Cloud
173.44.32.0/19 Deny Cloud
173.205.80.0/20 Deny Cloud
173.254.192.0/18 Deny Cloud
181.214.157.0/24 Deny Cloud
181.214.207.0/24 Deny Cloud
181.214.216.0/24 Deny Cloud
181.214.219.0/24 Deny Cloud
181.215.53.0/24 Deny Cloud
181.215.194.0/24 Deny Cloud
183.182.10.0/24 Deny Cloud
185.73.128.0/22 Deny Cloud
185.121.152.0/24 Deny Cloud
185.121.176.0/24 Deny Cloud
185.174.100.0/22 Deny Cloud
185.177.228.0/22 Deny Cloud
185.221.216.0/22 Deny Cloud
185.223.252.0/23 Deny Cloud
191.96.40.0/24 Deny Cloud
191.101.245.0/24 Deny Cloud
192.52.166.0/23 Deny Cloud
192.119.140.0/22 Deny Cloud
192.161.48.0/20 Deny Cloud
192.161.160.0/19 Deny Cloud
192.169.6.0/23 Deny Cloud
192.189.2.0/24 Deny Cloud
192.225.224.0/22 Deny Cloud
192.225.228.0/23 Deny Cloud
193.17.68.0/24 Deny Cloud
193.30.161.0/24 Deny Cloud
193.200.30.0/24 Deny Cloud
195.137.220.0/23 Deny Cloud
198.55.96.0/19 Deny Cloud
198.96.88.0/21 Deny Cloud
198.175.228.0/24 Deny Cloud
198.180.167.0/24 Deny Cloud
199.89.0.0/23 Deny Cloud
199.180.254.0/23 Deny Cloud
199.249.182.0/24 Deny Cloud
202.91.32.0/24 Deny Cloud
202.131.55.0/24 Deny Cloud
203.7.164.0/24 Deny Cloud
204.44.64.0/18 Deny Cloud
204.152.192.0/19 Deny Cloud
207.246.200.0/24 Deny Cloud
209.182.108.0/24 Deny Cloud
216.45.48.0/20 Deny Cloud
216.144.224.0/20 Deny Cloud
216.213.44.0/22 Deny Cloud
216.213.48.0/23 Deny Cloud
216.213.51.0/24 Deny Cloud
216.213.79.0/24 Deny Cloud
216.213.84.0/24 Deny Cloud
216.213.86.0/24 Deny Cloud
216.213.89.0/24 Deny Cloud
216.213.90.0/24 Deny Cloud
216.213.143.0/24 Deny Cloud
218.246.130.0/24 Deny Cloud
Tag: QuadraNet, Inc


# ASN 36352 ("ColoCrossing").
# %Listed, Google Malware Dashboard: 1.14%.
# %Listed, CleanTalk.org: 76.25%.
# Stop Forum Spam (SFS) listings: 271,514.
# Updated: 2017.08.25

5.226.171.0/24 Deny Cloud
8.17.250.0/23 Deny Cloud
8.17.252.0/24 Deny Cloud
23.94.0.0/15 Deny Cloud
23.229.42.0/24 Deny Cloud
23.229.96.0/19 Deny Cloud
23.236.129.0/24 Deny Cloud
23.236.180.0/22 Deny Cloud
23.236.194.0/24 Deny Cloud
23.236.240.0/20 Deny Cloud
23.249.160.0/20 Deny Cloud
23.250.91.0/24 Deny Cloud
23.250.101.0/24 Deny Cloud
23.250.112.0/20 Deny Cloud
23.254.75.0/24 Deny Cloud
23.254.88.0/21 Deny Cloud
23.254.96.0/21 Deny Cloud
23.254.104.0/23 Deny Cloud
23.254.106.0/24 Deny Cloud
23.254.112.0/20 Deny Cloud
45.40.32.0/20 Deny Cloud
45.40.112.0/20 Deny Cloud
45.57.177.0/24 Deny Cloud
45.57.179.0/24 Deny Cloud
45.57.181.0/24 Deny Cloud
45.57.190.0/24 Deny Cloud
45.57.240.0/22 Deny Cloud
45.57.244.0/24 Deny Cloud
45.57.248.0/21 Deny Cloud
45.72.33.0/24 Deny Cloud
45.72.61.0/24 Deny Cloud
45.74.2.0/24 Deny Cloud
45.248.54.0/23 Deny Cloud
65.99.193.0/24 Deny Cloud
65.99.246.0/24 Deny Cloud
66.225.194.0/23 Deny Cloud
66.225.198.0/24 Deny Cloud
66.225.231.0/24 Deny Cloud
66.225.232.0/24 Deny Cloud
69.31.134.0/24 Deny Cloud
69.58.9.0/24 Deny Cloud
69.58.15.0/24 Deny Cloud
72.249.94.0/24 Deny Cloud
72.249.124.0/24 Deny Cloud
75.102.10.0/24 Deny Cloud
75.102.27.0/24 Deny Cloud
75.102.34.0/24 Deny Cloud
75.102.38.0/23 Deny Cloud
75.127.0.0/20 Deny Cloud
96.8.112.0/20 Deny Cloud
103.210.12.0/22 Deny Cloud
104.144.26.0/24 Deny Cloud
104.144.34.0/24 Deny Cloud
104.145.231.0/24 Deny Cloud
104.145.232.0/23 Deny Cloud
104.145.234.0/24 Deny Cloud
104.145.237.0/24 Deny Cloud
104.145.238.0/24 Deny Cloud
104.168.0.0/17 Deny Cloud
104.227.172.0/22 Deny Cloud
104.227.192.0/19 Deny Cloud
104.232.32.0/20 Deny Cloud
104.250.117.0/24 Deny Cloud
104.250.124.0/23 Deny Cloud
104.250.126.0/24 Deny Cloud
107.161.144.0/21 Deny Cloud
107.161.152.0/23 Deny Cloud
107.161.155.0/24 Deny Cloud
107.161.156.0/22 Deny Cloud
107.172.0.0/17 Deny Cloud
107.172.128.0/21 Deny Cloud
107.172.136.0/24 Deny Cloud
107.172.138.0/23 Deny Cloud
107.172.140.0/22 Deny Cloud
107.172.144.0/21 Deny Cloud
107.172.152.0/22 Deny Cloud
107.172.158.0/23 Deny Cloud
107.172.160.0/19 Deny Cloud
107.172.192.0/18 Deny Cloud
107.173.0.0/18 Deny Cloud
107.173.64.0/21 Deny Cloud
107.173.72.0/22 Deny Cloud
107.173.76.0/23 Deny Cloud
107.173.79.0/24 Deny Cloud
107.173.80.0/20 Deny Cloud
107.173.96.0/19 Deny Cloud
107.173.128.0/17 Deny Cloud
107.174.0.0/20 Deny Cloud
107.174.24.0/21 Deny Cloud
107.174.32.0/19 Deny Cloud
107.174.64.0/18 Deny Cloud
107.174.128.0/17 Deny Cloud
107.175.0.0/19 Deny Cloud
107.175.32.0/21 Deny Cloud
107.175.44.0/22 Deny Cloud
107.175.48.0/20 Deny Cloud
107.175.64.0/18 Deny Cloud
107.175.128.0/18 Deny Cloud
107.175.192.0/19 Deny Cloud
107.175.224.0/20 Deny Cloud
107.175.240.0/21 Deny Cloud
107.175.248.0/22 Deny Cloud
107.175.253.0/24 Deny Cloud
107.175.254.0/23 Deny Cloud
108.174.48.0/20 Deny Cloud
138.128.112.0/20 Deny Cloud
144.168.137.0/24 Deny Cloud
144.168.139.0/24 Deny Cloud
144.168.140.0/22 Deny Cloud
144.168.144.0/24 Deny Cloud
144.168.146.0/24 Deny Cloud
144.168.148.0/23 Deny Cloud
144.168.151.0/24 Deny Cloud
144.168.152.0/24 Deny Cloud
162.218.88.0/21 Deny Cloud
162.221.176.0/21 Deny Cloud
172.87.240.0/24 Deny Cloud
172.87.255.0/24 Deny Cloud
172.94.69.0/24 Deny Cloud
172.245.0.0/19 Deny Cloud
172.245.32.0/20 Deny Cloud
172.245.50.0/23 Deny Cloud
172.245.52.0/22 Deny Cloud
172.245.56.0/21 Deny Cloud
172.245.64.0/18 Deny Cloud
172.245.128.0/19 Deny Cloud
172.245.160.0/22 Deny Cloud
172.245.167.0/24 Deny Cloud
172.245.168.0/22 Deny Cloud
172.245.173.0/24 Deny Cloud
172.245.174.0/24 Deny Cloud
172.245.176.0/21 Deny Cloud
